Name,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,average
Air_Force,-4.31,-4.28,-0.37,-12.98,-5.67,2.0,-4.77,-4.339999999999999
Akron,-6.82,4.86,7.15,1.85,0.91,4.19,2.77,2.13
Alabama,12.34,9.45,11.12,19.58,14.62,23.19,20.69,15.855714285714285
App_State,-4.83,-3.73,-0.81,-5.84,-1.45,-1.5,6.04,-1.7314285714285715
Arizona,15.67,8.32,19.49,15.02,22.75,19.08,24.54,17.83857142857143
Arizona_State,14.37,10.28,11.46,7.48,7.64,11.29,4.58,9.585714285714285
Arkansas,14.76,11.75,13.46,17.8,16.27,15.99,6.12,13.735714285714284
Arkansas_State,-9.65,-7.1,-2.92,-7.97,-3.27,-8.07,0.28,-5.528571428571429
Army,-8.62,-7.57,-9.1,0.06,-10.53,-7.13,-14.67,-8.222857142857142
Auburn,15.97,20.84,15.04,10.02,19.2,14.35,22.46,16.84
Ball_State,-1.22,3.39,4.12,-1.96,-7.99,-1.2,-6.68,-1.6485714285714284
Boise_State,11.21,3.61,8.59,9.75,11.93,12.78,13.31,10.168571428571429
Bowling_Green,-6.38,4.24,0.47,-0.17,-8.82,-8.46,-4.93,-3.435714285714286
Buffalo,7.99,15.56,1.8,6.5,1.9,-2.97,-15.12,2.2371428571428575
California,-3.4,-3.16,3.2,4.89,3.96,-3.36,4.94,1.01
Central_Michigan,-1.39,2.79,-3.4,-12.34,-12.56,-11.97,-8.07,-6.7057142857142855
Charlotte,-10.13,-8.34,0.46,-5.68,-1.62,3.9,4.09,-2.474285714285714
Cincinnati,20.25,14.53,12.33,3.99,7.44,11.77,15.06,12.195714285714287
Clemson,17.16,13.85,10.26,12.49,9.59,10.53,16.2,12.868571428571427
Coastal,-3.94,-0.5,-0.83,-2.74,0.66,-8.93,-10.47,-3.8214285714285716
Colorado,6.06,9.68,14.91,18.88,9.82,11.17,15.95,12.352857142857143
Colorado_State,-3.86,-0.11,6.7,8.06,11.51,5.64,13.4,5.905714285714287
Connecticut,1.08,6.81,11.15,15.77,16.4,22.95,26.7,14.40857142857143
East_Carolina,-8.72,-5.49,-2.27,1.0,0.49,-0.29,-0.62,-2.2714285714285714
Eastern_Michigan,-0.23,0.4,-3.12,-14.23,-10.86,-11.05,-12.76,-7.4071428571428575
FAU,-5.35,-1.42,-1.66,-2.05,2.63,13.92,13.26,2.7614285714285716
FIU,-4.3,-4.55,0.9,-11.2,-6.47,-2.71,-8.01,-5.191428571428571
Florida,16.66,15.42,14.94,13.7,11.93,10.9,15.17,14.102857142857143
Florida_State,15.78,17.99,17.28,17.12,6.39,-0.38,9.52,11.957142857142857
Fresno_State,8.17,8.99,2.08,-3.57,8.36,2.6,-3.29,3.334285714285714
Georgia,10.24,5.31,8.28,6.62,-0.63,1.8,8.63,5.75
Georgia_Southern,-0.54,3.75,1.69,-10.22,-7.04,-3.25,-8.44,-3.4357142857142855
Georgia_State,3.22,2.44,3.09,-1.7,-1.11,-6.79,-4.59,-0.7771428571428572
Georgia_Tech,5.25,6.93,10.49,12.79,2.24,2.08,4.6,6.340000000000001
Hawaii,-2.33,-1.3,-1.27,-2.98,-0.52,2.36,-0.07,-0.8728571428571429
Houston,15.99,18.91,16.46,21.66,22.55,22.2,25.69,20.494285714285716
Illinois,8.5,8.95,15.27,23.25,16.69,14.81,19.56,15.290000000000001
Indiana,9.89,13.82,15.07,12.79,12.71,14.94,7.74,12.422857142857143
Iowa,8.13,14.27,16.07,21.4,18.9,14.08,13.0,15.12142857142857
Iowa_State,6.88,18.07,9.1,-0.72,12.38,15.36,22.3,11.91
James_Madison,-5.47,-8.52,-9.23,-0.11,-4.13,4.96,8.19,-2.044285714285714
Kansas,21.39,18.35,24.96,15.29,22.28,19.2,16.35,19.688571428571432
Kansas_State,12.85,15.39,8.7,0.76,10.61,15.79,11.06,10.737142857142857
Kent_State,-3.73,1.26,3.68,1.74,-0.13,7.53,-0.76,1.3699999999999999
Kentucky,17.24,21.43,15.78,11.77,20.9,14.76,16.79,16.95285714285714
Louisiana,7.58,-2.07,-4.6,-4.84,-2.71,4.27,-0.6,-0.4242857142857143
Louisiana_Monroe,-6.28,0.81,-6.5,-10.59,-8.7,-8.64,-10.05,-7.135714285714286
Louisiana_Tech,1.33,0.95,7.06,6.63,5.23,0.1,4.83,3.7328571428571427
Louisville,14.3,17.28,17.94,10.35,4.23,-5.39,0.45,8.451428571428572
Marshall,4.21,-0.64,1.7,5.7,-4.57,7.13,-5.42,1.1585714285714286
Maryland,13.78,16.01,17.82,13.94,9.34,14.58,10.6,13.724285714285713
Massachusetts,-1.65,-3.02,1.12,4.77,-0.67,-1.34,7.59,0.9714285714285714
Memphis,1.81,10.7,12.16,13.81,14.67,14.5,9.0,10.950000000000001
Miami_Ohio,-3.56,0.77,-4.17,-2.67,-6.35,-7.46,-6.45,-4.27
Michigan,19.03,21.82,17.94,22.0,14.26,12.43,5.28,16.108571428571427
Michigan_State,22.41,24.93,21.92,9.8,13.18,14.25,17.72,17.744285714285716
Middle_Tennessee,10.29,-6.09,-8.41,-10.78,4.5,2.95,-7.45,-2.141428571428571
Minnesota,7.0,12.52,16.39,11.04,5.93,-0.3,9.51,8.870000000000001
Mississippi_State,11.71,15.96,12.21,9.24,11.83,11.43,14.19,12.367142857142856
Missouri,13.81,8.6,8.51,12.37,2.94,11.41,3.27,8.70142857142857
NC_State,12.91,14.94,12.05,9.6,3.77,12.5,12.81,11.225714285714286
Navy,-6.91,-10.09,-7.36,1.02,-2.94,-2.79,-11.7,-5.824285714285714
Nebraska,10.99,14.85,2.41,6.08,3.0,7.12,14.36,8.401428571428571
Nevada,14.44,16.0,8.91,5.4,3.71,10.01,12.85,10.188571428571427
New_Mexico,5.81,-0.55,3.47,-12.38,1.25,10.82,15.04,3.3514285714285714
New_Mexico_State,9.06,10.05,4.11,-1.21,7.11,-1.56,-8.62,2.7057142857142855
North_Carolina,20.07,23.94,9.45,14.79,15.5,12.94,21.36,16.864285714285714
North_Texas,1.16,-0.25,7.32,7.58,8.98,10.71,8.41,6.272857142857143
Northern_Illinois,-6.71,2.58,-1.33,-17.9,-10.5,-6.55,-9.16,-7.08142857142857
Ohio,-2.52,-1.84,0.74,5.48,1.5,1.07,0.48,0.7014285714285714
Ohio_State,17.67,13.89,19.37,18.25,14.17,12.99,13.64,15.711428571428572
Oklahoma,13.81,15.3,13.48,13.52,14.12,11.38,14.66,13.752857142857142
Oklahoma_State,12.45,8.09,12.01,13.65,13.28,12.62,6.25,11.192857142857141
Old_Dominion,9.27,3.74,0.02,-1.1,-1.32,-0.41,-8.35,0.26428571428571423
Ole_Miss,6.85,12.32,7.37,11.18,6.72,5.73,8.3,8.352857142857143
Oregon,10.7,13.95,18.22,16.15,10.05,13.83,12.22,13.588571428571429
Oregon_State,7.31,7.84,9.7,11.48,-1.44,0.08,3.28,5.464285714285714
Penn_State,15.85,12.55,16.12,13.53,8.72,13.04,9.22,12.718571428571428
Pittsburgh,-1.87,7.88,6.8,7.8,0.45,10.59,14.89,6.648571428571429
Purdue,23.41,21.4,16.3,15.55,19.15,18.23,24.93,19.852857142857143
Rutgers,5.5,8.89,15.72,14.14,8.78,14.58,7.41,10.717142857142857
San_Diego_State,12.23,5.29,18.38,14.36,13.13,15.81,14.68,13.411428571428571
San_Jose_State,-8.74,-16.37,-7.55,-17.5,-7.01,5.17,-3.82,-7.974285714285713
South_Alabama,-5.44,-4.46,0.08,-6.03,0.23,3.58,-5.92,-2.565714285714286
South_Carolina,9.45,8.34,10.27,3.39,7.14,-2.28,10.98,6.755714285714285
South_Florida,-7.25,5.96,5.15,-0.02,-3.05,1.95,7.37,1.4442857142857144
Southern_Mississippi,-4.26,2.58,-6.65,-6.88,-13.58,3.31,-5.93,-4.4871428571428575
Temple,7.25,8.17,6.59,2.57,4.61,4.68,-1.26,4.658571428571428
Tennessee,18.2,21.55,11.18,16.87,20.46,20.84,21.81,18.701428571428572
Texas,13.96,16.06,10.47,15.51,17.01,20.56,15.91,15.64
Texas_A&M,15.3,7.21,4.93,2.2,12.93,13.76,13.35,9.954285714285716
Texas_State,-5.84,1.54,5.42,-3.85,0.14,-2.32,-3.71,-1.2314285714285713
Texas_Tech,19.38,22.79,16.83,16.59,20.08,12.58,14.96,17.601428571428574
Toledo,2.65,8.21,1.2,6.59,6.26,5.76,1.78,4.635714285714286
Troy,-1.5,-6.12,-9.01,-12.06,-3.56,1.39,1.24,-4.231428571428571
UAB,4.9,0.36,-0.94,5.8,10.9,10.96,5.14,5.302857142857143
UCF,4.76,13.37,5.13,5.94,6.23,11.09,11.92,8.348571428571429
UCLA,12.07,7.17,9.83,16.3,19.3,22.11,7.5,13.468571428571428
UNLV,7.2,1.58,6.79,-1.48,7.2,7.2,8.38,5.267142857142858
UTEP,-5.31,-8.23,-1.0,1.07,0.27,-0.74,-1.49,-2.204285714285714
UTSA,-1.24,0.69,-3.18,-1.22,-10.46,-7.74,-5.26,-4.058571428571429
Utah,11.39,6.13,8.47,11.86,5.45,11.34,15.0,9.948571428571427
Utah_State,2.31,11.98,13.66,10.99,10.41,14.23,11.56,10.734285714285715
Virginia,22.2,25.46,12.16,15.27,8.88,13.28,10.45,15.385714285714286
Virginia_Tech,14.35,19.28,8.22,12.59,14.48,9.36,11.91,12.884285714285713
Washington,7.62,12.01,12.41,1.88,5.03,6.78,11.85,8.225714285714286
Washington_State,0.67,-1.67,5.13,8.12,12.57,10.53,14.02,7.052857142857143
West_Virginia,19.89,6.94,18.51,15.36,10.23,15.95,3.73,12.944285714285714
Western_Kentucky,11.08,3.14,4.2,5.19,3.3,-0.81,1.19,3.8985714285714286
Western_Michigan,-2.22,-6.26,-5.42,-11.51,-13.51,-10.55,-9.3,-8.395714285714286
Wisconsin,10.38,17.9,15.95,17.22,13.13,10.98,16.01,14.510000000000002
Wyoming,4.26,-9.75,-3.05,-1.23,9.36,2.02,0.54,0.30714285714285694
