Name,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,average
Air_Force,0.387,0.438,0.375,0.2,0.379,0.438,0.29,0.3581428571428571
Akron,0.438,0.515,0.774,0.652,0.706,0.667,0.686,0.6340000000000001
Alabama,0.556,0.529,0.516,0.788,0.576,0.838,0.676,0.6398571428571429
App_State,0.455,0.344,0.545,0.586,0.559,0.5,0.794,0.5404285714285715
Arizona,0.771,0.531,0.656,0.654,0.892,0.8,0.75,0.7220000000000001
Arizona_State,0.625,0.676,0.645,0.44,0.452,0.639,0.438,0.5592857142857143
Arkansas,0.657,0.529,0.625,0.781,0.757,0.611,0.485,0.635
Arkansas_State,0.344,0.406,0.5,0.458,0.621,0.394,0.541,0.4662857142857143
Army,0.433,0.406,0.5,0.545,0.484,0.515,0.313,0.4565714285714285
Auburn,0.765,0.75,0.806,0.481,0.824,0.618,0.771,0.7164285714285715
Ball_State,0.594,0.485,0.581,0.435,0.452,0.625,0.484,0.5222857142857142
Boise_State,0.719,0.394,0.625,0.679,0.771,0.706,0.667,0.6515714285714286
Bowling_Green,0.5,0.647,0.677,0.538,0.419,0.355,0.588,0.532
Buffalo,0.75,0.889,0.625,0.64,0.633,0.469,0.129,0.5907142857142856
California,0.25,0.258,0.438,0.31,0.375,0.094,0.406,0.30442857142857144
Central_Michigan,0.583,0.657,0.438,0.304,0.233,0.323,0.563,0.443
Charlotte,0.207,0.276,0.552,0.36,0.548,0.611,0.613,0.4524285714285714
Cincinnati,0.861,0.8,0.667,0.522,0.545,0.639,0.595,0.6612857142857144
Clemson,0.714,0.588,0.516,0.667,0.515,0.676,0.667,0.6204285714285714
Coastal,0.438,0.5,0.485,0.692,0.576,0.355,0.29,0.4765714285714286
Colorado,0.531,0.639,0.656,0.719,0.636,0.514,0.703,0.6282857142857142
Colorado_State,0.344,0.375,0.625,0.714,0.806,0.455,0.694,0.5732857142857143
Connecticut,0.438,0.485,0.613,0.652,0.697,0.795,0.925,0.6578571428571429
East_Carolina,0.333,0.323,0.355,0.421,0.5,0.485,0.455,0.41028571428571425
Eastern_Michigan,0.629,0.469,0.5,0.333,0.323,0.258,0.419,0.4187142857142857
FAU,0.387,0.515,0.531,0.565,0.559,0.897,0.735,0.5984285714285714
FIU,0.438,0.588,0.594,0.346,0.469,0.438,0.333,0.458
Florida,0.618,0.556,0.613,0.6,0.588,0.485,0.667,0.5895714285714285
Florida_State,0.657,0.784,0.839,0.72,0.548,0.281,0.515,0.6205714285714287
Fresno_State,0.656,0.719,0.367,0.5,0.639,0.355,0.364,0.5142857142857143
Georgia,0.545,0.344,0.5,0.538,0.188,0.5,0.541,0.4508571428571429
Georgia_Southern,0.636,0.636,0.606,0.5,0.448,0.515,0.273,0.5162857142857143
Georgia_State,0.686,0.706,0.594,0.727,0.621,0.323,0.452,0.587
Georgia_Tech,0.406,0.438,0.548,0.654,0.375,0.455,0.438,0.4734285714285714
Hawaii,0.567,0.581,0.567,0.524,0.607,0.667,0.588,0.5858571428571429
Houston,0.771,0.892,0.742,0.875,0.842,0.892,0.865,0.839857142857143
Illinois,0.438,0.364,0.677,0.774,0.697,0.606,0.763,0.617
Indiana,0.516,0.543,0.625,0.444,0.6,0.657,0.576,0.565857142857143
Iowa,0.424,0.657,0.645,0.71,0.722,0.576,0.559,0.6132857142857143
Iowa_State,0.419,0.657,0.375,0.083,0.629,0.576,0.784,0.5032857142857143
James_Madison,0.313,0.424,0.3,0.65,0.517,0.667,0.889,0.5371428571428571
Kansas,0.795,0.722,0.903,0.7,0.85,0.778,0.676,0.7748571428571429
Kansas_State,0.676,0.735,0.344,0.31,0.452,0.722,0.559,0.5425714285714286
Kent_State,0.5,0.667,0.625,0.652,0.676,0.8,0.5,0.6314285714285715
Kentucky,0.703,0.811,0.806,0.36,0.765,0.647,0.697,0.684142857142857
Louisiana,0.794,0.594,0.424,0.654,0.516,0.765,0.576,0.6175714285714287
Louisiana_Monroe,0.5,0.543,0.31,0.269,0.419,0.344,0.367,0.3931428571428571
Louisiana_Tech,0.515,0.606,0.733,0.75,0.706,0.455,0.688,0.6361428571428572
Louisville,0.611,0.588,0.774,0.65,0.406,0.125,0.25,0.48628571428571427
Marshall,0.694,0.622,0.531,0.682,0.364,0.75,0.394,0.5767142857142857
Maryland,0.594,0.676,0.774,0.548,0.469,0.629,0.485,0.5964285714285714
Massachusetts,0.394,0.344,0.452,0.533,0.469,0.484,0.645,0.47442857142857137
Memphis,0.618,0.611,0.677,0.714,0.667,0.743,0.688,0.674
Miami_Ohio,0.471,0.469,0.406,0.522,0.438,0.375,0.469,0.45
Michigan,0.805,0.811,0.613,0.821,0.559,0.529,0.25,0.6268571428571429
Michigan_State,0.857,0.821,0.71,0.536,0.639,0.618,0.571,0.6788571428571428
Middle_Tennessee,0.758,0.344,0.258,0.217,0.703,0.576,0.424,0.4685714285714285
Minnesota,0.469,0.611,0.484,0.483,0.433,0.29,0.559,0.4755714285714286
Mississippi_State,0.676,0.676,0.645,0.545,0.529,0.618,0.6,0.6127142857142857
Missouri,0.606,0.469,0.484,0.615,0.364,0.714,0.25,0.5002857142857142
NC_State,0.636,0.667,0.625,0.56,0.344,0.676,0.634,0.5917142857142856
Navy,0.625,0.387,0.467,0.833,0.656,0.581,0.419,0.566857142857143
Nebraska,0.667,0.528,0.219,0.259,0.313,0.5,0.676,0.4517142857142857
Nevada,0.784,0.853,0.613,0.615,0.419,0.667,0.765,0.6737142857142857
New_Mexico,0.559,0.438,0.576,0.273,0.406,0.647,0.722,0.5172857142857142
New_Mexico_State,0.824,0.857,0.806,0.6,0.794,0.375,0.406,0.6660000000000001
North_Carolina,0.703,0.806,0.424,0.621,0.744,0.606,0.784,0.6697142857142858
North_Texas,0.526,0.636,0.645,0.643,0.781,0.816,0.559,0.658
Northern_Illinois,0.406,0.5,0.581,0.158,0.3,0.406,0.355,0.38657142857142857
Ohio,0.452,0.452,0.531,0.68,0.714,0.576,0.606,0.5730000000000001
Ohio_State,0.735,0.571,0.677,0.677,0.625,0.457,0.611,0.6218571428571428
Oklahoma,0.563,0.588,0.613,0.593,0.543,0.469,0.625,0.5705714285714285
Oklahoma_State,0.583,0.375,0.563,0.7,0.5,0.556,0.375,0.5217142857142857
Old_Dominion,0.781,0.743,0.406,0.652,0.406,0.613,0.219,0.5457142857142857
Ole_Miss,0.375,0.606,0.469,0.571,0.406,0.364,0.625,0.488
Oregon,0.639,0.658,0.774,0.75,0.571,0.583,0.667,0.6631428571428571
Oregon_State,0.5,0.581,0.581,0.606,0.097,0.344,0.406,0.44499999999999995
Penn_State,0.667,0.438,0.677,0.44,0.452,0.622,0.485,0.5401428571428571
Pittsburgh,0.25,0.424,0.485,0.455,0.344,0.667,0.667,0.47028571428571425
Purdue,0.811,0.722,0.516,0.643,0.784,0.829,0.872,0.7395714285714285
Rutgers,0.441,0.452,0.645,0.571,0.563,0.559,0.469,0.5285714285714286
San_Diego_State,0.667,0.618,0.938,0.821,0.719,0.821,0.703,0.7552857142857142
San_Jose_State,0.133,0.129,0.226,0.238,0.258,0.6,0.281,0.2664285714285714
South_Alabama,0.438,0.5,0.645,0.607,0.636,0.543,0.5,0.5527142857142857
South_Carolina,0.515,0.5,0.581,0.286,0.581,0.344,0.765,0.5102857142857143
South_Florida,0.313,0.632,0.452,0.409,0.258,0.438,0.758,0.4657142857142857
Southern_Mississippi,0.471,0.606,0.29,0.32,0.212,0.758,0.5,0.451
Temple,0.515,0.697,0.452,0.313,0.586,0.5,0.444,0.501
Tennessee,0.743,0.838,0.548,0.667,0.771,0.694,0.75,0.7158571428571429
Texas,0.559,0.568,0.613,0.704,0.647,0.763,0.618,0.6388571428571428
Texas_A&M,0.629,0.438,0.533,0.444,0.675,0.714,0.583,0.5737142857142857
Texas_State,0.455,0.706,0.656,0.72,0.724,0.457,0.486,0.6005714285714285
Texas_Tech,0.73,0.816,0.581,0.621,0.73,0.5,0.676,0.6648571428571428
Toledo,0.676,0.758,0.531,0.7,0.765,0.771,0.625,0.6894285714285715
Troy,0.485,0.4,0.29,0.393,0.625,0.606,0.625,0.48914285714285716
UAB,0.606,0.571,0.594,0.759,0.771,0.744,0.657,0.6717142857142857
UCF,0.594,0.727,0.533,0.478,0.6,0.559,0.515,0.5722857142857143
UCLA,0.636,0.515,0.613,0.688,0.771,0.838,0.485,0.6494285714285714
UNLV,0.606,0.548,0.531,0.444,0.563,0.594,0.618,0.5577142857142857
UTEP,0.355,0.276,0.531,0.5,0.588,0.438,0.529,0.45957142857142863
UTSA,0.571,0.531,0.406,0.577,0.313,0.313,0.344,0.4364285714285714
Utah,0.657,0.548,0.516,0.48,0.355,0.531,0.595,0.526
Utah_State,0.5,0.8,0.765,0.69,0.529,0.743,0.8,0.6895714285714286
Virginia,0.912,0.921,0.767,0.72,0.6,0.758,0.676,0.764857142857143
Virginia_Tech,0.636,0.743,0.5,0.682,0.639,0.559,0.559,0.6168571428571428
Washington,0.618,0.75,0.469,0.192,0.531,0.5,0.531,0.513
Washington_State,0.387,0.344,0.5,0.519,0.595,0.5,0.714,0.5084285714285715
West_Virginia,0.703,0.417,0.677,0.655,0.485,0.559,0.281,0.5395714285714286
Western_Kentucky,0.711,0.588,0.667,0.724,0.594,0.515,0.647,0.6351428571428571
Western_Michigan,0.531,0.25,0.406,0.238,0.258,0.258,0.375,0.33085714285714285
