Name,Weight Class Moved To,Height (cm),Height Difference to WC Average (cm),Above or Below Height Average for WC,Reach (cm),Reach Difference to WC Average (cm),Above or Below Reach Average for WC,First Move up Opponent,Year,Result (Win/Loss),Method,Round,Odds,Implied Probability,Payout,Result (1/0)
Sergio Pettis,135,168,-2,Average or Below,175,2,Above Average,Rob Font,2018,Loss,DEC,3,125,0.4444444444,0,0
John Dodson,135,160,-10,Average or Below,165,-8,Average or Below,Manny Gamburyan,2016,Win,TKO,1,-545,0.8449612403,118.3486239,1
Ray Borg,135,163,-7,Average or Below,165,-8,Average or Below,Gabriel Silva,2019,Win,DEC,3,-185,0.649122807,154.0540541,1
Louis Smolka,135,175,5,Above Average,177,4,Above Average,Su Mudaerji,2018,Win,SUB,2,-175,0.6363636364,157.1428571,1
Henry Cejudo,135,163,-7,Average or Below,163,-10,Average or Below,Marlon Moraes,2019,Win,TKO,3,135,0.4255319149,235,1
Aljamain Sterling,145,170,-6,Average or Below,180,0,Average or Below,Calvin Kattar,2024,Win,DEC,3,-185,0.649122807,154.0540541,1
Max Holloway,155,180,0,Average or Below,175,-8,Average or Below,Dustin Poirier,2019,Loss,DEC,5,-265,0.7260273973,0,0
Gabriel Benitez,155,173,-7,Average or Below,182,-1,Average or Below,Omar Morales,2020,Loss,DEC,3,140,0.4166666667,0,0
Jeremy Stephens,155,171,-9,Average or Below,176,-7,Average or Below,Mateusz Gamrot,2021,Loss,SUB,1,205,0.3278688525,0,0
Alexander Volkanovski,155,168,-12,Average or Below,182,-1,Average or Below,Islam Makhachev,2023,Loss,DEC,5,300,0.25,0,0
Ilia Topuria,155,170,-6,Average or Below,175,-5,Average or Below,Charles Olivera,2025,Win,TKO,1,-420,0.8076923077,123.8095238,1
Renato Moicano,155,180,0,Average or Below,183,0,Average or Below,Damir Hadzovic,2020,Win,SUB,1,-420,0.8076923077,123.8095238,1
Conor McGregor (FW -> LW),155,175,-5,Average or Below,188,5,Above Average,Eddie Alvarez,2016,Win,TKO,2,-160,0.6153846154,162.5,1
